0.068,0.080,0.064,0.053,0.049,0.056,0.056,0.053,0.068,0.083,0.072,0.060,0.060,0.060,0.064,0.080,0.118,0.091,0.049,0.018,0.014,0.014,0.014,0.014,0.022,0.053,0.053,0.037,0.025,0.029,0.037,0.045,0.041,0.033,0.025,0.025,0.022,0.022,0.018,0.018
0.087,0.091,0.056,0.045,0.060,0.118,0.122,0.103,0.083,0.072,0.076,0.076,0.095,0.111,0.095,0.083,0.111,0.261,0.366,0.459,0.563,0.571,0.486,0.393,0.258,0.049,0.018,0.037,0.041,0.033,0.037,0.045,0.053,0.045,0.033,0.029,0.022,0.018,0.018,0.018
0.103,0.103,0.064,0.076,0.126,0.134,0.134,0.107,0.130,0.083,0.064,0.103,0.157,0.157,0.091,0.184,0.428,0.625,0.698,0.749,0.768,0.791,0.791,0.772,0.741,0.652,0.432,0.265,0.118,0.080,0.056,0.041,0.045,0.053,0.041,0.029,0.022,0.018,0.022,0.022
0.107,0.103,0.080,0.095,0.099,0.083,0.107,0.080,0.091,0.087,0.076,0.107,0.153,0.215,0.377,0.621,0.648,0.602,0.633,0.698,0.737,0.756,0.764,0.760,0.760,0.787,0.787,0.718,0.513,0.203,0.095,0.049,0.041,0.056,0.053,0.029,0.022,0.025,0.033,0.029
0.095,0.091,0.087,0.095,0.064,0.072,0.091,0.076,0.087,0.083,0.099,0.068,0.211,0.602,0.725,0.714,0.667,0.613,0.602,0.640,0.714,0.756,0.772,0.772,0.768,0.768,0.776,0.783,0.741,0.482,0.099,0.072,0.056,0.068,0.060,0.041,0.033,0.033,0.037,0.025
0.099,0.107,0.114,0.083,0.111,0.095,0.072,0.072,0.087,0.149,0.126,0.312,0.633,0.749,0.729,0.714,0.702,0.683,0.621,0.578,0.683,0.764,0.795,0.795,0.783,0.791,0.803,0.799,0.780,0.706,0.292,0.068,0.080,0.068,0.064,0.045,0.037,0.033,0.025,0.029
0.103,0.111,0.126,0.118,0.080,0.060,0.064,0.126,0.165,0.188,0.408,0.652,0.729,0.725,0.667,0.710,0.710,0.698,0.687,0.636,0.636,0.725,0.795,0.811,0.791,0.787,0.814,0.822,0.814,0.776,0.609,0.126,0.111,0.076,0.060,0.056,0.045,0.025,0.029,0.029
0.130,0.130,0.145,0.103,0.056,0.068,0.076,0.122,0.172,0.420,0.675,0.660,0.694,0.691,0.505,0.451,0.432,0.393,0.404,0.416,0.416,0.540,0.679,0.760,0.803,0.791,0.799,0.822,0.818,0.795,0.756,0.412,0.087,0.114,0.080,0.068,0.049,0.041,0.033,0.025
0.126,0.138,0.138,0.114,0.122,0.130,0.126,0.099,0.269,0.675,0.733,0.706,0.644,0.621,0.439,0.370,0.319,0.288,0.269,0.261,0.285,0.316,0.416,0.656,0.768,0.803,0.811,0.818,0.818,0.799,0.791,0.679,0.238,0.134,0.122,0.099,0.072,0.037,0.041,0.045
0.083,0.114,0.138,0.141,0.145,0.153,0.161,0.087,0.404,0.745,0.776,0.752,0.675,0.536,0.401,0.343,0.323,0.300,0.261,0.269,0.292,0.308,0.316,0.397,0.640,0.737,0.776,0.799,0.822,0.814,0.803,0.729,0.412,0.234,0.207,0.169,0.091,0.049,0.049,0.053
0.095,0.122,0.141,0.141,0.145,0.180,0.196,0.254,0.660,0.799,0.807,0.811,0.741,0.617,0.377,0.339,0.316,0.292,0.258,0.254,0.285,0.288,0.304,0.323,0.374,0.563,0.683,0.756,0.799,0.803,0.799,0.737,0.551,0.366,0.316,0.273,0.199,0.153,0.076,0.049
0.099,0.145,0.157,0.138,0.153,0.188,0.242,0.424,0.733,0.811,0.814,0.818,0.780,0.609,0.358,0.339,0.312,0.300,0.273,0.265,0.281,0.296,0.304,0.319,0.346,0.435,0.594,0.687,0.764,0.814,0.780,0.741,0.629,0.497,0.420,0.362,0.316,0.246,0.134,0.060
0.111,0.118,0.138,0.138,0.176,0.176,0.242,0.613,0.787,0.811,0.818,0.826,0.772,0.520,0.370,0.339,0.312,0.300,0.265,0.277,0.288,0.296,0.304,0.331,0.354,0.439,0.567,0.633,0.722,0.811,0.791,0.756,0.706,0.617,0.478,0.439,0.393,0.316,0.192,0.111
0.114,0.114,0.126,0.145,0.165,0.176,0.203,0.660,0.826,0.814,0.826,0.845,0.718,0.443,0.370,0.350,0.327,0.288,0.238,0.250,0.285,0.296,0.304,0.327,0.346,0.428,0.524,0.609,0.702,0.776,0.783,0.752,0.722,0.640,0.497,0.459,0.424,0.362,0.300,0.203
0.072,0.103,0.149,0.149,0.157,0.180,0.165,0.625,0.826,0.826,0.838,0.826,0.625,0.435,0.447,0.474,0.517,0.563,0.490,0.350,0.292,0.296,0.300,0.319,0.343,0.374,0.455,0.575,0.667,0.776,0.814,0.752,0.737,0.656,0.528,0.455,0.432,0.381,0.319,0.273
0.091,0.114,0.141,0.130,0.153,0.192,0.176,0.606,0.783,0.818,0.826,0.722,0.478,0.474,0.513,0.567,0.609,0.667,0.687,0.594,0.354,0.308,0.335,0.455,0.633,0.664,0.664,0.664,0.667,0.780,0.830,0.783,0.760,0.656,0.509,0.459,0.432,0.389,0.343,0.308
0.107,0.111,0.130,0.149,0.172,0.169,0.238,0.582,0.714,0.745,0.745,0.648,0.478,0.517,0.617,0.648,0.640,0.671,0.633,0.636,0.412,0.312,0.482,0.714,0.745,0.718,0.687,0.694,0.702,0.787,0.830,0.795,0.783,0.702,0.559,0.459,0.432,0.397,0.354,0.319
0.122,0.134,0.141,0.161,0.180,0.180,0.331,0.617,0.718,0.725,0.722,0.636,0.490,0.474,0.497,0.455,0.447,0.524,0.548,0.505,0.374,0.319,0.644,0.741,0.551,0.664,0.691,0.698,0.683,0.795,0.830,0.780,0.783,0.718,0.551,0.451,0.424,0.401,0.362,0.331
0.099,0.122,0.153,0.165,0.184,0.203,0.374,0.656,0.722,0.698,0.702,0.644,0.493,0.439,0.404,0.393,0.389,0.443,0.439,0.385,0.362,0.339,0.648,0.675,0.520,0.602,0.629,0.714,0.698,0.799,0.830,0.760,0.752,0.694,0.482,0.443,0.420,0.408,0.377,0.350
0.118,0.141,0.153,0.169,0.188,0.211,0.327,0.625,0.687,0.710,0.760,0.671,0.501,0.451,0.393,0.358,0.381,0.435,0.408,0.374,0.377,0.339,0.602,0.671,0.609,0.582,0.602,0.644,0.679,0.787,0.795,0.733,0.733,0.652,0.455,0.435,0.416,0.397,0.374,0.358
0.130,0.134,0.153,0.169,0.192,0.211,0.265,0.432,0.687,0.780,0.849,0.694,0.513,0.470,0.377,0.304,0.331,0.401,0.424,0.385,0.362,0.335,0.559,0.636,0.544,0.486,0.536,0.598,0.652,0.768,0.752,0.722,0.714,0.575,0.443,0.424,0.408,0.385,0.370,0.366
